 517104 ,UVM00065503
 512880 ,USM00072583
 511960 ,CAM00071600
 511344 ,UKM00003026
 509792 ,INM00043311
 505720 ,THM00048455
 502888 ,ITM00016429
 500752 ,WQM00091245
 500568 ,INM00042867
 498120 ,SAM00041024
 498024 ,IDM00096935
 497576 ,ASM00094302
 496280 ,GMM00010868
 496096 ,USM00074570
 495872 ,GLM00004270
 495208 ,CAM00071957
 495184 ,AGM00060390
 493264 ,USM00072582
 492440 ,IDM00097372
 487864 ,BXM00096315
 487528 ,FRM00007110
 487272 ,IDM00097180
 484096 ,FIM00002963
 483552 ,INM00042410
 483296 ,BUM00015614
 482120 ,ASM00094865
 481304 ,INM00043003
 479864 ,GMM00010238
 479856 ,INM00042314
 479616 ,AYM00089611
 478000 ,ITM00016560
 477592 ,UKM00003920
 473776 ,FJM00091680
 473344 ,UKM00003743
 471288 ,CKM00096996
 470216 ,USM00072440
 467824 ,KEM00063741
 467608 ,CAM00071925
 466416 ,GLM00004220
 466032 ,USM00072357
 459616 ,GMM00010200
 455560 ,RSM00026781
 454736 ,LOM00011952
 453960 ,JAM00047991
 451632 ,GRM00016716
 451120 ,CJM00078384
 450704 ,KZM00038064
 449216 ,ASM00094332
 448392 ,SWM00002365
 446584 ,IVM00065578
 442552 ,UKM00003496
 439944 ,RSM00029612
 432456 ,MXM00076644
 430216 ,USM00072221
 428408 ,PLM00012425
 428208 ,EGM00062414
 426616 ,MLM00061291
 423056 ,EGM00062378
 422032 ,ASM00094238
 421944 ,GLM00004202
 420288 ,USM00072425
 420000 ,RSM00028225
 417456 ,UKM00003882
 417400 ,FRM00007145
 417328 ,FIM00002935
 417192 ,RSM00031088
 415080 ,INM00043041
 413504 ,AGM00060571
 413120 ,SPM00008001
 412776 ,USM00072318
 411520 ,HRM00014240
 411000 ,KSM00047158
 409832 ,MYM00048650
 409032 ,CDM00064700
 408048 ,USM00072576
 406552 ,KSM00047138
 405352 ,ASM00094150
 403232 ,KZM00035394
 401480 ,ASM00094866
 399240 ,RMM00091366
 399008 ,INM00042101
 398840 ,INM00043014
 398744 ,AYM00089564
 398720 ,SEM00063985
 398592 ,SPM00008221
 396728 ,GLM00004339
 396360 ,USM00072233
 395752 ,LHM00026629
 395288 ,RSM00023884
 393176 ,RSM00024908
 390032 ,RSM00027707
 389144 ,SWM00002527
 388552 ,USM00072655
 388024 ,ARM00087155
 385592 ,SFM00068263
 382192 ,AMM00037789
 378576 ,CHM00054511
 377488 ,USM00072649
 376416 ,AYM00089009
 375712 ,RSM00026063
 375432 ,AGM00060680
 374888 ,SAM00040375
 373560 ,RSM00022820
 373464 ,USM00072654
 373232 ,INM00042027
 373216 ,KZM00035229
 372896 ,INM00042379
 371680 ,NNM00078866
 371592 ,POM00008579
 370432 ,IDM00097014
 369784 ,SFM00068816
 369064 ,PMM00078807
 368752 ,SHM00068906
 368672 ,NZM00093417
 366552 ,DRM00078486
 366320 ,TUM00017281
 365984 ,TUM00017220
 364944 ,ASM00094287
 364200 ,HUM00012982
 363768 ,TUM00017064
 363304 ,KZM00036872
 361720 ,ASM00094367
 361640 ,TUM00017130
 359152 ,NGM00061024
 358912 ,MXM00076692
 358872 ,IDM00097900
 358064 ,RSM00031977
 357800 ,IDM00097072
 357448 ,MXM00076458
 357120 ,ITM00016245
 356656 ,PLM00012120
 356040 ,TDM00078970
 355400 ,JMM00078397
 353096 ,ENM00026038
 352496 ,RSM00025703
 352328 ,EGM00062306
 351920 ,USM00072311
 351496 ,IDM00097724
 351240 ,RSM00027612
 350976 ,BBM00078954
 349520 ,KZM00028951
 348488 ,RSM00027459
 348112 ,IDM00096237
 347944 ,INM00043063
 347584 ,INM00042874
