,lasttime,duration,areatime,tqv_values,maxarea,filename
10,2018-12-31 23:00:00,7 days 14:00:00,6320.271948143437,55.0,115.7755535553382,2018_12_31_23_lat10p00S.geojson
11,2018-12-26 03:00:00,2 days 10:00:00,992.494979563812,55.0,24.14266269983416,2018_12_26_03_lat3p623N.geojson
12,2018-12-23 19:00:00,0 days 03:00:00,6.796218048599317,55.0,2.213510623296854,2018_12_23_19_lat20p76S.geojson
13,2018-12-23 06:00:00,0 days 12:00:00,39.61169783922933,55.0,3.661036875520331,2018_12_23_06_lat21p01S.geojson
14,2018-12-21 05:00:00,0 days 02:00:00,4.811527683005498,55.0,2.0778423550607825,2018_12_21_05_lat10p80S.geojson
15,2018-12-20 03:00:00,0 days 00:00:00,1.032786076190714,55.0,1.032786076190714,2018_12_20_03_lat17p93S.geojson
16,2018-12-20 02:00:00,0 days 00:00:00,2.0159128278117175,55.0,2.0159128278117175,2018_12_20_02_lat17p75S.geojson
17,2018-12-19 07:00:00,0 days 00:00:00,4.368588604546952,55.0,4.368588604546952,2018_12_19_07_lat12p98S.geojson
18,2018-12-19 06:00:00,0 days 00:00:00,3.4723299514103094,55.0,3.4723299514103094,2018_12_19_06_lat13p01S.geojson
19,2018-12-26 09:00:00,7 days 04:00:00,6648.870744679581,55.0,78.3476615751303,2018_12_26_09_lat13p57S.geojson
20,2018-12-26 01:00:00,6 days 20:00:00,7732.482920183101,55.0,114.53309235194888,2018_12_26_01_lat16p16S.geojson
21,2018-12-22 18:00:00,3 days 13:00:00,3393.2733484100117,55.0,67.4081425467914,2018_12_22_18_lat9p548S.geojson
22,2018-12-20 01:00:00,0 days 20:00:00,455.85458854856233,55.0,36.283093454905625,2018_12_20_01_lat17p67S.geojson
23,2018-12-19 05:00:00,0 days 00:00:00,1.1342558472330337,55.0,1.1342558472330337,2018_12_19_05_lat9p106S.geojson
24,2018-12-19 05:00:00,0 days 03:00:00,7.995911720292638,55.0,2.722798522240982,2018_12_19_05_lat13p07S.geojson
25,2018-12-19 02:00:00,0 days 10:00:00,48.19907932505436,55.0,5.437584515405419,2018_12_19_02_lat8p352S.geojson
26,2018-12-18 15:00:00,0 days 00:00:00,1.8783845436489448,55.0,1.8783845436489448,2018_12_18_15_lat8p722S.geojson
27,2018-12-18 20:00:00,0 days 06:00:00,41.08668249422444,55.0,6.953956777697167,2018_12_18_20_lat17p56S.geojson
28,2018-12-18 14:00:00,0 days 00:00:00,1.1387355368957908,55.0,1.1387355368957908,2018_12_18_14_lat8p564S.geojson
29,2018-12-16 16:00:00,0 days 00:00:00,2.108293305380151,55.0,2.108293305380151,2018_12_16_16_lat14p75S.geojson
30,2018-12-18 23:00:00,2 days 10:00:00,602.7418347673702,55.0,22.110133281061053,2018_12_18_23_lat12p00S.geojson
31,2018-12-18 18:00:00,2 days 05:00:00,537.0272189822505,55.0,22.110133281061053,2018_12_18_18_lat15p55S.geojson
32,2018-12-18 02:00:00,1 days 13:00:00,407.02096582984393,55.0,22.110133281061053,2018_12_18_02_lat9p905S.geojson
33,2018-12-17 22:00:00,1 days 09:00:00,393.97787143544053,55.0,22.110133281061053,2018_12_17_22_lat8p238S.geojson
34,2018-12-16 10:00:00,0 days 00:00:00,1.0536759440249632,55.0,1.0536759440249632,2018_12_16_10_lat11p15S.geojson
35,2018-12-16 14:00:00,0 days 06:00:00,65.21338445647017,55.0,10.987387656107872,2018_12_16_14_lat12p43S.geojson
36,2018-12-16 07:00:00,0 days 00:00:00,1.2273416763251062,55.0,1.2273416763251062,2018_12_16_07_lat11p27S.geojson
37,2018-12-16 05:00:00,0 days 00:00:00,1.1554315555560584,55.0,1.1554315555560584,2018_12_16_05_lat16p94S.geojson
38,2018-12-16 03:00:00,0 days 00:00:00,1.523907008850464,55.0,1.523907008850464,2018_12_16_03_lat7p516S.geojson
39,2018-12-16 00:00:00,0 days 00:00:00,1.950770522255124,55.0,1.950770522255124,2018_12_16_00_lat15p25S.geojson
40,2018-12-16 06:00:00,0 days 07:00:00,14.970192071235827,55.0,2.69224626381783,2018_12_16_06_lat11p32S.geojson
41,2018-12-15 23:00:00,2 days 19:00:00,2804.994735970218,55.0,89.12772042142373,2018_12_15_23_lat15p11S.geojson
42,2018-12-15 02:00:00,1 days 22:00:00,2146.7130159490735,55.0,89.12772042142373,2018_12_15_02_lat12p05S.geojson
43,2018-12-13 03:00:00,0 days 07:00:00,190.584749571191,55.0,46.17769790875258,2018_12_13_03_lat13p44S.geojson
44,2018-12-12 18:00:00,0 days 00:00:00,1.7456593023853952,55.0,1.7456593023853952,2018_12_12_18_lat8p028S.geojson
45,2018-12-12 21:00:00,0 days 04:00:00,18.973037037956654,55.0,6.441721707092279,2018_12_12_21_lat1p355N.geojson
46,2018-12-12 17:00:00,0 days 00:00:00,7.973720225317413,55.0,7.973720225317413,2018_12_12_17_lat8p728S.geojson
47,2018-12-12 16:00:00,0 days 00:00:00,13.583472341756815,55.0,13.583472341756815,2018_12_12_16_lat8p912S.geojson
48,2018-12-16 04:00:00,3 days 16:00:00,1045.9696181526306,55.0,23.849936347165134,2018_12_16_04_lat16p98S.geojson
49,2018-12-12 02:00:00,0 days 03:00:00,413.05398508899697,55.0,120.14894237404297,2018_12_12_02_lat10p99S.geojson
50,2018-12-11 16:00:00,0 days 00:00:00,41.73939470618796,55.0,41.73939470618796,2018_12_11_16_lat8p579S.geojson
51,2018-12-11 13:00:00,0 days 01:00:00,4.526391039127782,55.0,2.845397864366893,2018_12_11_13_lat4p288N.geojson
